"created_at","id_str","full_text","quote_count","reply_count","retweet_count","favorite_count","lang","user_id_str","conversation_id_str","username","tweet_url","image_url","location"
"Wed Dec 06 15:39:00 +0000 2023","1732424406545445107","Semakin kokoh. @prabowo @gibran_tweet . ⚖️ 👨‍⚖️ https://t.co/NrSZaPvF3K","0","1","3","16","in","1532853448462733312","1732424406545445107","ejaferdiansyah","https://twitter.com/ejaferdiansyah/status/1732424406545445107","https://pbs.twimg.com/ext_tw_video_thumb/1732423538869686272/pu/img/r8kr7IFveJ2D5vNS.jpg",""
"Wed Dec 06 06:11:12 +0000 2023","1732281518549237878","Keputusan positif mantan pemimpin desa: Prabowo-Gibran sebagai pemimpin perubahan positif. https://t.co/NAhETqVWqV","0","0","0","0","in","1685921104467288064","1732281518549237878","PembenciK78284","https://twitter.com/PembenciK78284/status/1732281518549237878","https://pbs.twimg.com/ext_tw_video_thumb/1732281408004186112/pu/img/HaYTw-8Df1x8N-iE.jpg","Sidoarjo"
"Wed Dec 06 04:21:13 +0000 2023","1732253838265237897","idolaku semua Prabowo-Gibran pemimpin yang dekat dan memikirkan rakyat #GibranMendengar https://t.co/PzCdCOuJL7","1","27","147","43","in","870742633139666944","1732253838265237897","nitnotw","https://twitter.com/nitnotw/status/1732253838265237897","https://pbs.twimg.com/media/GAozrvZaEAAb8nQ.jpg","Kota Surabaya, Jawa Timur"
"Thu Dec 07 02:25:35 +0000 2023","1732587125139558856","Apakah ada yang lebih mampu dari Gibran sebagai cawapres Prabowo? Tentu ada. Kenapa dipilih? Karena Gibran membawa elektabilitas Jokowi untuk memenangkan Prabowo.  Apakah ada yang lebih mampu dari Kaesang sebagai Ketum PSI? Tentu ada. Kenapa dipilih? Karena Kaesang membawa…","32","400","186","1032","in","185156524","1732587125139558856","hasyimmah","https://twitter.com/hasyimmah/status/1732587125139558856","","Mojokerto"
"Thu Dec 07 09:25:44 +0000 2023","1732692861383242140","Saat anak dan menantu Jokowi dulu jadi walikota  nggak pernah dengar orang PDIP bahas dinasti.  Saat Gibran belum memutuskan jadi cawapres Prabowo  nggak pernah dengar orang PDIP bahas dinasti.  Malah PDIP sempat membuka peluang Gibran jadi cawapres Ganjar.  Waktu Prabowo…","40","292","229","757","in","185156524","1732692861383242140","hasyimmah","https://twitter.com/hasyimmah/status/1732692861383242140","","Mojokerto"
"Mon Dec 11 07:11:21 +0000 2023","1734108594692567391","Bagaimanapun masyarakat akan lebih cenderung untuk memilih: MELANJUTKAN atau PERUBAHAN.  Yang "melanjutkan" itu memilih Prabowo-Gibran. Yang "perubahan" itu memilih Anies-Muhaimin.  Ganjar-Mahfud itu kurang kuat positioningnya. Nanggung. Narasi buzzernya membenci Jokowi tapi… https://t.co/wndcOxeTTf","8","144","78","338","in","185156524","1734108594692567391","hasyimmah","https://twitter.com/hasyimmah/status/1734108594692567391","https://pbs.twimg.com/media/GBDKkfsakAAnXfm.jpg","Mojokerto"
"Sat Dec 09 03:54:23 +0000 2023","1733334251112898956","Sempat terbersit berharap Ganjar menang dan PDIP tidak juara 1 [di Pileg. Namun rasanya bakal kebalik  Ganjar kalah dan PDIP tetap memimpin Senayan.  Terlalu berat mengungguli PDIP. Terlalu berat mengalahkan Prabowo-Gibran.","20","180","47","309","in","185156524","1733334251112898956","hasyimmah","https://twitter.com/hasyimmah/status/1733334251112898956","","Mojokerto"
"Tue Dec 12 14:50:04 +0000 2023","1734586419698655634","Saya membayangkan betapa pusingnya timnya Prabowo-Gibran menyiapkan dan mengatur kedua orang itu saat akan debat.  Mau ngatur orang model Prabowo dan Gibran... Pusing...","4","41","36","268","in","185156524","1734586419698655634","hasyimmah","https://twitter.com/hasyimmah/status/1734586419698655634","","Mojokerto"
"Thu Dec 07 06:20:10 +0000 2023","1732646161918668923","@genx36545403 @prabowo @gibran_tweet @jokowi @alextham878 @Alie_Fahnoor @AlmaghribiS @AndreasSolusi @are_inismyname @BANGSAygSUJUD @Bank_Joee_ @bengkeldodo @Chaves1305 @florieliciouss Awokawok https://t.co/jxhPpohDJM","0","2","3","12","in","1440914340022865921","1732410908637589794","Nurhadi40083478","https://twitter.com/Nurhadi40083478/status/1732646161918668923","https://pbs.twimg.com/ext_tw_video_thumb/1732645831277436928/pu/img/HJSjhPSn7ZMB-YEe.jpg",""
"Tue Dec 12 00:21:55 +0000 2023","1734367943969103973","Di forum debat  prediksi saya:  Prabowo akan dihabisi Anies dan Ganjar.   Gibran akan dihabisi Muhaimin dan Mahfud.  Prabowo-Gibran kalau bicara dan tampil di muka publik nggak bisa bagus. Malah sering blunder.  Menghadapi para aktivis lulusan UGM dengan pengalaman yang tak perlu…","105","471","564","3774","in","185156524","1734367943969103973","hasyimmah","https://twitter.com/hasyimmah/status/1734367943969103973","","Mojokerto"
"Thu Dec 07 06:14:17 +0000 2023","1732644681241317794","@TeddGus @prabowo @gibran_tweet Diwarnai dg tangisan  mudah2 an gk  ngompol juga  🤣🤣🤣 https://t.co/pIhE7WxvkY","0","1","7","93","in","1440914340022865921","1732578942476062853","Nurhadi40083478","https://twitter.com/Nurhadi40083478/status/1732644681241317794","https://pbs.twimg.com/ext_tw_video_thumb/1732644652606726144/pu/img/IIMX2B35xJqpkmgP.jpg",""
"Tue Dec 05 12:48:25 +0000 2023","1732019092146844031","Statement Anies-Cak Imin nggak padu  let's make things better with Prabowo-Gibran https://t.co/noiFoefOqm","0","0","0","0","en","1712401938141396992","1732019092146844031","yunihanddayani","https://twitter.com/yunihanddayani/status/1732019092146844031","https://pbs.twimg.com/media/GAleLpdawAEc7lG.jpg","Blitar"
"Wed Dec 06 05:52:14 +0000 2023","1732276743489433953","Dukungan positif dari mantan pemimpin desa untuk visi Prabowo-Gibran. https://t.co/PXeWe8uA5g","0","0","0","0","in","1701529388964311040","1732276743489433953","Agusbagus369979","https://twitter.com/Agusbagus369979/status/1732276743489433953","https://pbs.twimg.com/ext_tw_video_thumb/1732276635280490496/pu/img/_ESCjLs1kwTRFucT.jpg","Lumajang"
"Wed Dec 06 12:10:50 +0000 2023","1732372021957513563","Ahmad dhani kampanye PRABOWO GIBRAN 🫰🫰🫰🫰🫰🫰🫰 https://t.co/Vz0okM4TeL","0","0","0","0","in","1568775892784259073","1732372021957513563","YuliaEster4","https://twitter.com/YuliaEster4/status/1732372021957513563","https://pbs.twimg.com/ext_tw_video_thumb/1732371942836158464/pu/img/zft9UJIicpqnApV6.jpg","Malang, Jawa Timur"
"Wed Dec 13 03:23:11 +0000 2023","1734775949596774436","Tebakan saya nanti di Debat yang ada Cawapresnya:  Gibran akan memakai template sama dengan yang dipakai Prabowo:  1. Saya setuju dengan pendapat Paslon 1 dan (atau) 3. 2. Kita kembalikan ke rakyat. Anda boleh mengatakan kami salah (apapun kasusnya)  namun yang akan menilai…","2","43","35","192","in","185156524","1734775949596774436","hasyimmah","https://twitter.com/hasyimmah/status/1734775949596774436","","Mojokerto"
"Thu Dec 07 05:28:11 +0000 2023","1732633080203235526","Sampe hari ini   tema kampanye :   Paslon 1 : perubahan  tolak IKN  Indonesia bahaya kalau mereka kalah.  Paslon 2 : Keberlanjutan Hilirisasi  Gemoy z Makan siang &amp;susu gratis   Paslon 3 : Prabowo  Jokowi   Gibran   Iriana  PSI   Kecurangan   Sepertinya akan begitu sampe pemilu .","2","52","40","125","in","1197213380525707264","1732633080203235526","bentangnegeri","https://twitter.com/bentangnegeri/status/1732633080203235526","","Kota Surabaya, Jawa Timur"
"Wed Dec 06 05:39:54 +0000 2023","1732273639318532104","Solidaritas positif Mantan Kepala Desa: Prabowo-Gibran adalah langkah maju. https://t.co/Yl5sxne1TN","0","0","0","0","in","1715275061719150592","1732273639318532104","uciananda276395","https://twitter.com/uciananda276395/status/1732273639318532104","https://pbs.twimg.com/ext_tw_video_thumb/1732273585144971264/pu/img/4xnWjx-8IrqYK6Dc.jpg","Nganjuk"
"Wed Dec 06 05:29:12 +0000 2023","1732270946252399034","Mantan Kepala Desa yakin  bersama Prabowo-Gibran  kita bisa wujudkan perubahan positif. https://t.co/HCGMOO5hZt","0","0","0","0","in","1688431754531786753","1732270946252399034","desvitadesiyant","https://twitter.com/desvitadesiyant/status/1732270946252399034","https://pbs.twimg.com/ext_tw_video_thumb/1732270895413239808/pu/img/jokaZE0UVO5oQ5qK.jpg","Trenggalek, Indonesia"
"Wed Dec 06 05:47:33 +0000 2023","1732275567016485368","Bersatunya mantan pemimpin desa demi perubahan yang lebih baik bersama Prabowo-Gibran. https://t.co/R6qXomBSoQ","0","0","0","0","in","1699000360961212416","1732275567016485368","mahendramardhi1","https://twitter.com/mahendramardhi1/status/1732275567016485368","https://pbs.twimg.com/ext_tw_video_thumb/1732275515602718720/pu/img/Ldo_9E92LbRW_M78.jpg","Bangil"
"Wed Dec 06 06:11:27 +0000 2023","1732281581040209925","Mantan Kepala Desa bersatu padu: Prabowo-Gibran pilihan kami untuk membawa perubahan positif https://t.co/2EZmklttYJ","0","0","0","0","in","1683676998848356352","1732281581040209925","arosy24918","https://twitter.com/arosy24918/status/1732281581040209925","https://pbs.twimg.com/ext_tw_video_thumb/1732281511871938560/pu/img/ObeWUVfFAZRTmfq6.jpg","jember"
"Wed Dec 06 06:01:34 +0000 2023","1732279094103187680","Keputusan positif mantan pemimpin desa: Prabowo-Gibran sebagai pemimpin perubahan positif. https://t.co/5SsY2zwuw9","0","0","0","0","in","1698587595880755200","1732279094103187680","ArnoldDedi36248","https://twitter.com/ArnoldDedi36248/status/1732279094103187680","https://pbs.twimg.com/ext_tw_video_thumb/1732279024431566848/pu/img/YMH9q-lCtn4RF3m3.jpg","Ponorogo"
"Wed Dec 06 05:44:49 +0000 2023","1732274878492107114","Mantan pemimpin desa bersatu untuk Prabowo-Gibran: Perubahan positif dimulai dari kita semua https://t.co/uHsP04yb8a","0","0","0","0","in","1698577977154691072","1732274878492107114","anto_ryan53186","https://twitter.com/anto_ryan53186/status/1732274878492107114","https://pbs.twimg.com/ext_tw_video_thumb/1732274808115871744/pu/img/OesWcossjRAtOgQG.jpg","Ponorogo"
"Wed Dec 06 05:44:59 +0000 2023","1732274917763432475","Mantan Kepala Desa bersama Prabowo-Gibran  karena kita percaya pada perubahan yang lebih baik https://t.co/hHyvUWqb5X","0","0","0","0","in","1701450297531625472","1732274917763432475","dudi_budi94570","https://twitter.com/dudi_budi94570/status/1732274917763432475","https://pbs.twimg.com/ext_tw_video_thumb/1732274867024834560/pu/img/7bZzY4gHZFOwxdak.jpg","Nganjuk"
"Wed Dec 06 06:01:15 +0000 2023","1732279013689922028","Mantan pemimpin desa berkomitmen untuk mendukung perubahan positif bersama Prabowo-Gibran. https://t.co/oVbZwgzzNc","0","0","0","0","in","1716366297595088896","1732279013689922028","kevia_lynne","https://twitter.com/kevia_lynne/status/1732279013689922028","https://pbs.twimg.com/ext_tw_video_thumb/1732278957125652480/pu/img/0080KLROeVR_Yioz.jpg","Jombang"
"Fri Dec 08 00:18:32 +0000 2023","1732917540911972395","Saya masih ada kemungkinan pilih capres yang mana saja.   Karena bagi saya: - Anies Baswedan - Muhaimin Iskandar - Prabowo Subianto - Gibran Rakabuming Raka - Ganjar Pranowo - Mahfud MD semuanya saya yakini adalah orang baik.  Sehingga ketika kita tak memilih 2 paslon yang lain …","8","58","30","218","in","185156524","1732917540911972395","hasyimmah","https://twitter.com/hasyimmah/status/1732917540911972395","","Mojokerto"
"Wed Dec 06 05:52:26 +0000 2023","1732276795406491915","Dukungan penuh dari mantan pemimpin desa: Prabowo-Gibran adalah solusi untuk perubahan positif. https://t.co/tDmL2aHm0i","0","0","0","0","in","1702246871174152192","1732276795406491915","yusuf208733","https://twitter.com/yusuf208733/status/1732276795406491915","https://pbs.twimg.com/ext_tw_video_thumb/1732276738439417856/pu/img/oeFurjwFT0e-TykY.jpg","Lumajang"
"Wed Dec 06 05:40:03 +0000 2023","1732273677922897975","Mantan Kepala Desa memilih positif: Bersama Prabowo-Gibran  kita raih kemajuan yang lebih baik. https://t.co/hcQQhRzteY","0","0","0","0","in","1715621884300341248","1732273677922897975","l_werlin","https://twitter.com/l_werlin/status/1732273677922897975","https://pbs.twimg.com/ext_tw_video_thumb/1732273567080091648/pu/img/bDvrbHG3nq__GUHr.jpg","Ngawi"
"Wed Dec 06 05:34:42 +0000 2023","1732272330599215161","Seruan hati nurani! Ratusan Mantan Kades Cirebon dukung Prabowo-Gibran!   #Parlemen404 PurnaKuwu DukungPragibs https://t.co/jkX83j02Ww","0","0","0","0","in","1676518135724388352","1732272330599215161","TrisnoDani","https://twitter.com/TrisnoDani/status/1732272330599215161","https://pbs.twimg.com/ext_tw_video_thumb/1732272174885740544/pu/img/Ydqn1gAoc0-fEoW7.jpg","Kota Surabaya, Jawa Timur"
"Wed Dec 06 05:32:31 +0000 2023","1732271783464841435","Semangat segar mantan kades di Kota/Kabupaten Cirebon buat atmosfer positif untuk Prabowo-Gibran https://t.co/zQJzKZgwee","0","0","0","0","in","1698998230732967936","1732271783464841435","lelana_ristia","https://twitter.com/lelana_ristia/status/1732271783464841435","https://pbs.twimg.com/ext_tw_video_thumb/1732271672571609088/pu/img/oewc7zX4aBzv8NI1.jpg","Ponorogo"
"Wed Dec 06 05:34:46 +0000 2023","1732272348076916765","Ratusan mantan kades mengiringi Prabowo-Gibran  menciptakan narasi positif untuk Pilpres 2024 https://t.co/4hlmS3wDGf","0","0","0","0","in","1715277228215570432","1732272348076916765","maharanialya22","https://twitter.com/maharanialya22/status/1732272348076916765","https://pbs.twimg.com/ext_tw_video_thumb/1732272293219610624/pu/img/YfWMamDKud5bCW6r.jpg","Jombang, Indonesia"
"Wed Dec 06 06:11:25 +0000 2023","1732281572098027938","Solidaritas mantan pemimpin desa untuk Prabowo-Gibran: Bersama kita perubahan positif terwujud https://t.co/xUNmqLpOtv","0","0","0","0","in","1699243355363069952","1732281572098027938","f_gretha","https://twitter.com/f_gretha/status/1732281572098027938","https://pbs.twimg.com/ext_tw_video_thumb/1732281503307231232/pu/img/QUys-p8c6FgBEycf.jpg","Sidoarjo"
"Wed Dec 06 05:34:42 +0000 2023","1732272331832352889","Kesatuan mantan pemimpin desa untuk perubahan positif: Prabowo-Gibran sebagai katalisator perubahan. https://t.co/0oUgi6JniP","0","0","0","0","in","1703619804526161920","1732272331832352889","fara1222398","https://twitter.com/fara1222398/status/1732272331832352889","https://pbs.twimg.com/ext_tw_video_thumb/1732272262622199808/pu/img/FuUgv-s8S0kB6j2r.jpg","Pacitan"
"Wed Dec 06 05:37:17 +0000 2023","1732272982415028429","Kesatuan mantan pemimpin desa untuk perubahan positif: Prabowo-Gibran sebagai katalisator perubahan. https://t.co/9mpDJz7E8N","0","0","0","0","in","1715621882287030272","1732272982415028429","anggia_m96","https://twitter.com/anggia_m96/status/1732272982415028429","https://pbs.twimg.com/ext_tw_video_thumb/1732272927557701632/pu/img/Of65J9fbdKongooh.jpg","Pacitan"
"Wed Dec 06 05:49:37 +0000 2023","1732276085285695795","Mantan Kepala Desa yakin bersama Prabowo-Gibran akan membawa perubahan positif untuk kemajuan desa. https://t.co/grAlUxywRz","0","0","0","0","in","1716270267906039808","1732276085285695795","bayuni_casia","https://twitter.com/bayuni_casia/status/1732276085285695795","https://pbs.twimg.com/ext_tw_video_thumb/1732276014842335232/pu/img/YkGKzup2Ibvti55c.jpg","Mojosari"
"Wed Dec 06 05:44:47 +0000 2023","1732274868182561244","Pilihan optimis Mantan Kepala Desa: Prabowo-Gibran sebagai pemimpin perubahan positif. https://t.co/EAy81kN6et","0","0","0","0","in","1715356680740077569","1732274868182561244","tumizan341","https://twitter.com/tumizan341/status/1732274868182561244","https://pbs.twimg.com/ext_tw_video_thumb/1732274813379706880/pu/img/NNs5J4DD62Irqkuy.jpg","Lumajang, Indonesia"
"Wed Dec 06 05:56:29 +0000 2023","1732277812047106451","Keberanian mantan pemimpin desa dalam mendukung Prabowo-Gibran: Langkah untuk perubahan positif https://t.co/e3OqTbvhcc","0","0","0","0","in","1715570556807077888","1732277812047106451","lauracalista70","https://twitter.com/lauracalista70/status/1732277812047106451","https://pbs.twimg.com/ext_tw_video_thumb/1732277757105905664/pu/img/TcDEfZeHsLo2EImC.jpg","Mojosari, Indonesia"
"Wed Dec 06 05:37:21 +0000 2023","1732272998361759746","Dukungan mantan pemimpin desa untuk Prabowo-Gibran  keyakinan akan perubahan positif yang mencerahkan. https://t.co/LcCil1MqPo","0","0","0","0","in","1715275146628562944","1732272998361759746","marisasanj196","https://twitter.com/marisasanj196/status/1732272998361759746","https://pbs.twimg.com/ext_tw_video_thumb/1732272928413323264/pu/img/H1BZbzg7vfhYHVRC.jpg","Ngawi"
"Wed Dec 06 05:42:56 +0000 2023","1732274401637507261","Mantan Kepala Desa bersatu dalam keyakinan positif: Prabowo-Gibran membawa harapan perubahan yang baik. https://t.co/PoGMyzPeEv","0","0","0","0","in","1702178746915340288","1732274401637507261","Sukmaindah75012","https://twitter.com/Sukmaindah75012/status/1732274401637507261","https://pbs.twimg.com/ext_tw_video_thumb/1732274291113447425/pu/img/wWxUqM_hOnk9gFWO.jpg","Nganjuk"
"Wed Dec 06 05:51:49 +0000 2023","1732276637616730243","Mantan Kepala Desa mendukung positif: Prabowo-Gibran sebagai pemimpin untuk perubahan yang lebih baik. https://t.co/v5DBFNnby8","0","0","0","0","in","1715548357517787136","1732276637616730243","abigail1829820","https://twitter.com/abigail1829820/status/1732276637616730243","https://pbs.twimg.com/ext_tw_video_thumb/1732276580540649474/pu/img/_bBiw40HuAz0lfL6.jpg","Magetan, Indonesia"
"Wed Dec 06 05:34:38 +0000 2023","1732272314799280336","Prabowo-Gibran diiringi oleh suara bulat ratusan mantan kades  membangun perubahan nyata. https://t.co/35Dg8DskDj","0","0","0","0","in","1715248674199257088","1732272314799280336","adindaanug70949","https://twitter.com/adindaanug70949/status/1732272314799280336","https://pbs.twimg.com/ext_tw_video_thumb/1732272260604690432/pu/img/FhI7oJn98uoFEbJh.jpg","Pacitan, Indonesia"
"Wed Dec 06 05:42:26 +0000 2023","1732274279293886897","Suara bulat ratusan mantan kades menciptakan harmoni  mendukung Prabowo-Gibran di Pilpres 2024. https://t.co/qGWwIBNQWL","0","0","0","0","in","1716270615592886272","1732274279293886897","azkadinaaliesha","https://twitter.com/azkadinaaliesha/status/1732274279293886897","https://pbs.twimg.com/ext_tw_video_thumb/1732274222305820672/pu/img/lOMzGd3tyFFrFA6D.jpg","Nganjuk"
"Wed Dec 06 05:34:36 +0000 2023","1732272306368676283","Suara bulat ratusan mantan kades Cirebon  menyuarakan harapan baru dengan Prabowo-Gibran https://t.co/6bjdBcUDd9","0","0","0","0","in","1698571147779112960","1732272306368676283","ArdiWinoyo5211","https://twitter.com/ArdiWinoyo5211/status/1732272306368676283","https://pbs.twimg.com/ext_tw_video_thumb/1732272249384890369/pu/img/SyucjudwIQeTV-BN.jpg","Kraksaan, Indonesia"
"Wed Dec 06 05:47:07 +0000 2023","1732275456345554997","Bersama Prabowo-Gibran  mantan pemimpin desa optimis pada masa depan yang penuh harapan. https://t.co/3NFwywsfyN","0","0","0","0","in","1715568422514475008","1732275456345554997","HalimahTutik_","https://twitter.com/HalimahTutik_/status/1732275456345554997","https://pbs.twimg.com/ext_tw_video_thumb/1732275403946090496/pu/img/DIGe13JeXlYLTRpy.jpg","Malang, Jawa Timur"
"Sun Dec 10 00:26:27 +0000 2023","1733644307385680119","Barusan dialog dg pembeli air isi ulang. Dia yg mulai dulu dg menyebut Prabowo-Gibran.  A : aku tanya sampeyan mendukung mereka? P : Tdk pak  wakilnya tdk jelas dan pak Prabowo terlalu ambisius. A : trs sampeyan dukung siang? P : AMIN pak. A : Alhamdulillahi Robbil Aalamiin","1","3","4","32","in","1603532910682071041","1733644307385680119","Wiparayudha","https://twitter.com/Wiparayudha/status/1733644307385680119","","Kota Surabaya, Jawa Timur"
"Wed Dec 06 05:40:18 +0000 2023","1732273741944824219","Solidaritas tanpa batas: Mantan Kepala Desa bersama Prabowo-Gibran  visi untuk perubahan positif. https://t.co/cDlu6WXai3","0","0","0","0","in","1702170638285484032","1732273741944824219","sury21554","https://twitter.com/sury21554/status/1732273741944824219","https://pbs.twimg.com/ext_tw_video_thumb/1732273671098847232/pu/img/d3hA0b4cw_N4k6vM.jpg","Ngawi"
"Wed Dec 06 05:32:08 +0000 2023","1732271687436317173","Keputusan mantan Kepala Desa: Prabowo-Gibran adalah jalan untuk perubahan yang kita inginkan https://t.co/3DbVB1a2NL","0","0","0","0","in","1686642771279683584","1732271687436317173","gunawansam98108","https://twitter.com/gunawansam98108/status/1732271687436317173","https://pbs.twimg.com/ext_tw_video_thumb/1732271632776069120/pu/img/ObNG5OPBcGf6ZNdy.jpg","Jember, Jawa Timur"
"Wed Dec 06 06:11:21 +0000 2023","1732281553932423379","Dukungan positif mantan pemimpin desa untuk Prabowo-Gibran: Bersama kita raih perubahan yang lebih baik. https://t.co/w4SzXM7WcR","0","0","0","0","in","1698902658936143873","1732281553932423379","DaffaGaliah","https://twitter.com/DaffaGaliah/status/1732281553932423379","https://pbs.twimg.com/ext_tw_video_thumb/1732281443118915584/pu/img/hg04-Suy0UjOrgUg.jpg","Bondowoso, Indonesia"
"Wed Dec 06 05:51:17 +0000 2023","1732276503688417419","Dukungan positif mantan pemimpin desa untuk Prabowo-Gibran: Bersama kita raih perubahan yang lebih baik. https://t.co/YtTMzWoXoe","0","0","0","0","in","1698891214249181184","1732276503688417419","DianaHacia","https://twitter.com/DianaHacia/status/1732276503688417419","https://pbs.twimg.com/ext_tw_video_thumb/1732276466845630464/pu/img/i9I_UOa9gOB80mOP.jpg","Purworejo, Indonesia"
"Wed Dec 06 06:16:21 +0000 2023","1732282814295376375","Suara bulat ratusan mantan kades  menetapkan fondasi kokoh dukungan untuk Prabowo-Gibran di Pilpres 2024 https://t.co/BguBCQjDi7","0","0","0","0","in","1685916445920940032","1732282814295376375","bin_dr50939","https://twitter.com/bin_dr50939/status/1732282814295376375","https://pbs.twimg.com/ext_tw_video_thumb/1732282762072367104/pu/img/8bnJW6GmjOVkuB4o.jpg","Trenggalek, Indonesia"
"Wed Dec 06 05:58:48 +0000 2023","1732278396837913016","Dukungan positif mantan pemimpin desa untuk Prabowo-Gibran: Bersama kita raih masa depan yang lebih baik. https://t.co/e59cJnogLq","0","0","0","0","in","1715580107946094592","1732278396837913016","dianputri997","https://twitter.com/dianputri997/status/1732278396837913016","https://pbs.twimg.com/ext_tw_video_thumb/1732278341942812672/pu/img/N1-IDGlJhp_IeCpS.jpg","Nganjuk, Indonesia"
"Wed Dec 06 05:45:16 +0000 2023","1732274989653766576","Solidaritas tanpa ragu: Mantan Kepala Desa yakin pada Prabowo-Gibran untuk membawa perubahan positif. https://t.co/CxGc5O3KiS","0","0","0","0","in","1702213804220968960","1732274989653766576","ayuc67817","https://twitter.com/ayuc67817/status/1732274989653766576","https://pbs.twimg.com/ext_tw_video_thumb/1732274932028145664/pu/img/YSbKD45cjF0fNRk1.jpg","Mojosari"
"Wed Dec 06 05:51:58 +0000 2023","1732276676099502104","Semangat positif mantan kepala desa di Kota/Kabupaten Cirebon menciptakan gelombang keoptimisan untuk Prabowo-Gibran https://t.co/k1xDK4tUmj","0","0","0","0","in","1716284874984976384","1732276676099502104","ElainaDara","https://twitter.com/ElainaDara/status/1732276676099502104","https://pbs.twimg.com/ext_tw_video_thumb/1732276607996530688/pu/img/cYbOEpHWtafiGlgJ.jpg","Kepanjen"
"Wed Dec 06 05:47:18 +0000 2023","1732275503485313179","Suara bulat mantan kades menghadirkan harapan baru  membantu Prabowo-Gibran merancang masa depan positif https://t.co/HrNeXAqkFp","0","0","0","0","in","1715332390602817537","1732275503485313179","AicaNana46440","https://twitter.com/AicaNana46440/status/1732275503485313179","https://pbs.twimg.com/ext_tw_video_thumb/1732275391929503744/pu/img/xOm170MrWinP9Nkl.jpg","Lumajang"
"Thu Dec 07 14:29:35 +0000 2023","1732769328125161758","@zy_zy_its_me @prabowo @gibran_tweet Asem di gunung  Garam di Laut. Asamsulfat bingung  mau debat kalang kabut. 🤭🥱😴 https://t.co/70tn2cyCph","0","1","1","7","in","984293305","1732611386461843900","GANFUDsiapGELOT","https://twitter.com/GANFUDsiapGELOT/status/1732769328125161758","https://pbs.twimg.com/media/GAwIgxTWgAAOwPF.jpg","Surabaja"
"Wed Dec 06 12:01:36 +0000 2023","1732369696949985559","Dari sudut hati  mantan Kades Cirebon suarakan dukungan untuk Prabowo-Gibran!   #Parlemen404 PurnaKuwu DukungPragibs https://t.co/yb4vecHJFH","0","0","0","0","in","1706579285467901952","1732369696949985559","ApriyaniEyin","https://twitter.com/ApriyaniEyin/status/1732369696949985559","https://pbs.twimg.com/ext_tw_video_thumb/1732369658811170816/pu/img/_rql5v_BJP1w7WhA.jpg","Kota Probolinggo, Jawa Timur"
"Wed Dec 06 05:45:42 +0000 2023","1732275097657135523","Semangat! Ratusan Mantan Kades di Cirebon dukung Prabowo-Gibran.   #Parlemen404 PurnaKuwu DukungPragibs https://t.co/l4afMDuFPp","0","0","0","0","in","1676075968447008770","1732275097657135523","cyyntia12","https://twitter.com/cyyntia12/status/1732275097657135523","https://pbs.twimg.com/ext_tw_video_thumb/1732274984117313536/pu/img/VTdO3wyVPUhS2yRV.jpg","Batu, Indonesia"
"Tue Dec 05 12:42:06 +0000 2023","1732017503700750491","Buru-buru urungkan proyek bangsa  apa pedulian AMIN pada rakyat Lantas dukungan Prabowo-Gibran jadi oase di tengah gersangnya harapan https://t.co/vUyXTijbBA","0","0","0","0","in","1705164611371364352","1732017503700750491","lutfyalamsyahh","https://twitter.com/lutfyalamsyahh/status/1732017503700750491","https://pbs.twimg.com/ext_tw_video_thumb/1732017477834657792/pu/img/1MIPXL-GevpO69X3.jpg","Malang"
"Wed Dec 06 05:37:32 +0000 2023","1732273044503347274","Suara bulat ratusan mantan kades  menjadi simbol persatuan dalam mendukung Prabowo-Gibran sebagai agen perubahan di Pilpres 2024 https://t.co/Z2tcIi8e2U","0","0","0","0","in","1701149348003033089","1732273044503347274","Ninasus60027646","https://twitter.com/Ninasus60027646/status/1732273044503347274","https://pbs.twimg.com/ext_tw_video_thumb/1732272975871926272/pu/img/dEii31UsKcJTnMJ7.jpg","Ngawi"
"Wed Dec 06 05:36:42 +0000 2023","1732272833504632855","Mantan Kades di Cirebon solid  pilih Prabowo-Gibran untuk kesejahteraan!   #Parlemen404 PurnaKuwu DukungPragibs https://t.co/MGJEcqNexM","0","0","0","0","in","1675522457971851265","1732272833504632855","janayudistira","https://twitter.com/janayudistira/status/1732272833504632855","https://pbs.twimg.com/ext_tw_video_thumb/1732272780056694784/pu/img/nbWygWxfsp7pgg73.jpg","Trenggalek, Indonesia"
"Wed Dec 06 05:39:38 +0000 2023","1732273572947910854","Mantan Kades memberikan contoh positif dengan mendukung Prabowo-Gibran.   #Parlemen404 PurnaKuwu DukungPragibs https://t.co/E4JWTqfrpZ","0","0","0","0","in","1675698805784870912","1732273572947910854","KastiSusanti","https://twitter.com/KastiSusanti/status/1732273572947910854","https://pbs.twimg.com/ext_tw_video_thumb/1732273495357460480/pu/img/sbv9m3rJaDLumR0h.jpg","Mojokerto, Jawa Timur"
"Wed Dec 06 05:40:36 +0000 2023","1732273816473399677","Ratusan Mantan Kades Cirebon  pilihan yang tepat  dukung Prabowo-Gibran!   #Parlemen404 PurnaKuwu DukungPragibs https://t.co/sOkNcaZqj5","0","0","0","0","in","1676616378726612992","1732273816473399677","icha_april8930","https://twitter.com/icha_april8930/status/1732273816473399677","https://pbs.twimg.com/ext_tw_video_thumb/1732273520804339712/pu/img/Kw0WexhgNuRLyC-q.jpg","Malang, Jawa Timur"
